Course,Description,Attempted,Grade,Notation,GPA,Class Avg,Class Size,Program Credits Earned,Other,,
MATH,354,A,NUMERICAL ANALYSIS,3.00,B+,,3.30,3.40,51,3.0,
MATH,370,A,ORDINARY DIFFERENTIAL EQUAT.,3.00,B-,,2.70,3.01,44,3.0,
MATH,464,B,REAL ANALYSIS,3.00,B+,,3.30,2.65,21,3.0,
MATH,494,A,TOPICS/PURE & APPLIED MATH,3.00,B-,,2.70,,,3.0,
Course Topic:,ALGEBRAIC NUMBER THEORY,,,,,,,,,,
