Course,Description,Attempted,Grade,Notation,GPA,Class Avg,Class Size,Program Credits Earned,Other,,
FRAN,305,B,COMMUNICATION ORALE,3.00,B+,,3.30,3.12,26,3.0,
GEOL,210,X,INTRODUCTION TO THE EARTH,3.00,A-,,3.70,3.25,69,3.0,
MAST,217,A,INTRO/MATHEMATICAL THINKING,3.00,A+,,4.30,2.94,49,3.0,
MAST,219,A,MULTIVARIABLE CALCULUS II,3.00,C,,2.00,1.69,17,3.0,
MECH,211,Y,MECHANICAL ENGR. DRAWING,3.50,B-,,2.70,2.62,70,3.5,
