Course,Description,Attempted,Grade,Notation,GPA,Class Avg,Class Size,Program Credits Earned,Other,,
GEOL,208,AA,"THE EARTH, MOON AND PLANETS",3.00,A-,,3.70,3.00,186,3.0,
MATH,252,A,LINEAR ALGEBRA II,3.00,D,,,2.20,53,3.0,INIT
MATH,365,A,ANALYSIS II,3.00,B,,3.00,2.38,49,3.0,
STAT,249,BB,PROBABILITY I,3.00,B+,,3.30,2.59,32,3.0,
