Course,Description,Attempted,Grade,Notation,GPA,Class Avg,Class Size,Program Credits Earned,Other,,
INTU,MJKY,IU,HONOURS ALGEBRA 4,3.00,C+,,2.30,,,3.0,
Course Topic:,MATH 457 MCGILL,,,,,,,,,,
MATH,494,B,TOPICS/PURE & APPLIED MATH,3.00,A+,,4.30,,,3.0,
Course Topic:,RANDOM MATRICES,,,,,,,,,,
