Course,Description,Attempted,Grade,Notation,GPA,Class Avg,Class Size,Program Credits Earned,Other,,
MATH,252,AA,LINEAR ALGEBRA II,3.00,C,,2.00,2.40,58,0.0,REPT
MATH,467,A,MEASURE THEORY,3.00,B,,3.00,2.86,11,3.0,
MATH,470,C,ABSTRACT ALGEBRA II,3.00,A,,4.00,3.23,13,3.0,
MATH,494,E,TOPICS/PURE & APPLIED MATH,3.00,B,,3.00,,,3.0,
Course Topic:,SET THEORY,,,,,,,,,,
